0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   PhysiDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   SetValue   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC      KM      LM      IK
0        0      0       1       2        1            1            1          "Kris"                               6       6           11          50            20           0                 0                 0                 0          40            40             0           0             0               1          1       1       1       1       1       1       1       1       1       1       0       1       1       1
1        0      0       1       3        1            1            1          "Short Sword"                        3       3           7           20            22           0                 0                 0                 0          60            0              0           0             0               1          1       1       1       1       1       1       1       1       1       1       0       1       1       1
2        0      0       1       3        1            1            1          "Rapier"                             9       9           15          40            23           0                 0                 0                 0          50            40             0           0             0               1          0       1       1       1       1       1       0       1       1       1       0       0       0       0
3        0      20      1       3        1            1            1          "Katana"                             16      16          26          35            27           0                 0                 0                 0          80            40             0           0             0               1          0       1       0       1       1       0       0       0       0       1       0       0       0       0
4        0      21      1       3        1            1            1          "Sword of Assassin"                  12      12          18          30            24           0                 0                 0                 0          60            40             0           0             0               1          0       1       0       1       1       0       0       0       0       1       0       0       0       0
5        0      22      1       3        1            1            1          "Blade"                              36      36          47          30            39           0                 0                 0                 0          80            50             0           0             0               1          1       1       1       1       1       0       0       0       0       1       0       1       1       1
6        0      20      1       3        1            1            1          "Gladius"                            20      20          30          20            30           0                 0                 0                 0          110           0              0           0             0               1          0       1       1       1       1       0       0       0       0       1       0       0       0       0
7        0      21      1       3        1            1            1          "Falchion"                           24      24          34          25            34           0                 0                 0                 0          120           0              0           0             0               1          0       1       0       1       1       0       0       0       0       1       0       0       0       0
8        0      21      1       3        1            1            1          "Serpent Sword"                      30      30          40          20            36           0                 0                 0                 0          130           0              0           0             0               1          0       1       0       1       1       0       0       0       0       1       0       0       0       0
9        0      20      2       3        1            1            1          "Sword of Salamander"                32      32          46          30            40           0                 0                 0                 0          103           0              0           0             0               1          0       1       0       1       0       0       0       0       0       0       0       0       0       0
10       0      22      2       4        1            1            1          "Light Saber"                        40      47          61          25            50           0                 0                 0                 0          80            60             0           0             0               1          0       1       1       1       0       0       0       0       0       0       0       0       0       0
11       0      20      2       3        1            1            1          "Legendary Sword"                    44      56          72          20            54           0                 0                 0                 0          120           0              0           0             0               1          0       1       0       1       0       0       0       0       0       0       0       0       0       0
12       0      19      2       3        1            1            1          "Heliacal Sword"                     56      73          98          25            66           0                 0                 0                 0          140           0              0           0             0               1          0       1       0       1       0       0       0       0       0       0       0       0       0       0
13       0      22      1       3        1            1            1          "Double Blade"                       48      48          56          30            43           0                 0                 0                 0          70            70             0           0             0               1          0       1       1       1       0       0       0       0       0       1       0       0       0       1
14       0      22      1       3        1            1            1          "Lighting Sword"                     59      59          67          30            50           0                 0                 0                 0          90            50             0           0             0               1          0       1       1       1       0       0       0       0       0       0       0       0       0       0
15       0      23      2       3        1            1            1          "Giant Sword"                        52      60          85          20            60           0                 0                 0                 0          140           0              0           0             0               1          0       1       0       1       0       0       0       0       0       0       0       0       0       0
16       0      22      1       4        1            1            1          "Sword of Destruction"               82      82          90          35            84           0                 0                 0                 0          160           60             0           0             0               1          0       1       0       1       0       0       0       0       0       0       0       0       0       0
17       0      23      2       4        1            1            1          "Dark Breaker"                       104     128         153         40            89           0                 0                 0                 0          180           50             0           0             0               1          0       2       0       0       0       0       0       0       0       0       0       0       0       0
18       0      23      2       3        1            1            1          "Thunder Blade"                      105     140         168         40            86           0                 0                 0                 0          180           50             0           0             0               1          0       0       0       1       0       0       0       0       0       0       0       0       0       0
19       0      22      1       4        1            1            0          "Divine Sword of Archangel"          86      220         230         45            168          0                 0                 38                0          140           50             0           0             0               0          0       1       0       1       1       0       0       0       0       0       0       0       0       0
20       0      22      1       4        1            1            1          "Knight Blade"                       140     107         115         35            90           0                 0                 0                 0          116           38             0           0             0               1          0       2       0       0       0       0       0       0       0       0       0       0       0       0
21       0      56      2       4        1            1            1          "Dark Reign Blade"                   140     115         142         40            100          0                 115               0                 0          116           53             9           0             0               1          0       0       0       1       0       0       0       0       0       0       0       0       0       0
22       0      22      1       4        1            1            1          "Bone Blade"                         147     122         135         40            95           0                 0                 0                 380        100           35             0           0             0               0          0       2       0       0       0       0       0       0       0       0       0       0       0       0
23       0      56      2       4        1            1            1          "Explosion Blade"                    147     127         155         45            110          0                 134               0                 380        98            48             7           0             0               0          0       0       0       1       0       0       0       0       0       0       0       0       0       0
24       0      22      2       4        1            1            1          "Daybreak"                           115     182         218         40            90           0                 0                 0                 0          192           30             0           0             0               0          0       2       0       0       0       0       0       0       0       0       0       0       0       0
25       0      56      2       4        1            1            1          "Sword Dancer"                       115     109         136         40            90           0                 108               0                 0          136           57             9           0             0               0          0       0       0       1       0       0       0       0       0       0       0       0       0       0
26       0      22      1       4        1            1            1          "Flameberge"                         137     115         126         40            90           0                 0                 34                380        193           53             0           0             0               0          0       2       0       0       0       0       0       0       0       0       0       0       0       0
27       0      22      1       4        1            1            1          "Sword Breaker"                      133     91          99          35            90           0                 0                 30                380        53            176            0           0             0               0          0       2       0       0       0       0       0       0       0       0       0       0       0       0
28       0      56      1       4        1            1            1          "Rune Bastard Sword"                 139     98          122         45            90           0                 109               30                380        91            73             17          0             0               0          0       0       0       1       0       0       0       0       0       0       0       0       0       0
29       0      22      1       4        1            1            1          "Sonic Blade"                        149     109         116         35            80           0                 0                 42                400        49            162            0           0             0               0          0       3       0       0       0       0       0       0       0       0       0       0       0       0
30       0      56      1       4        1            1            1          "Asura"                              149     115         140         45            90           0                 112               40                400        86            70             16          0             0               0          0       0       0       3       0       0       0       0       0       0       0       0       0       0
31       0      56      2       4        1            1            1          "Rune Blade"                         100     104         130         35            93           0                 104               0                 0          135           62             9           0             0               3          0       0       0       1       0       0       0       0       0       0       0       0       0       0
32       0      260     1       2        1            1            1          "Sacred Glove"                       52      52          58          25            65           0                 0                 0                 0          85            35             0           0             0               1          0       0       0       0       0       0       1       0       0       0       0       0       0       0
33       0      261     1       2        1            1            1          "Holy Storm Claws"                   82      82          88          30            77           0                 0                 0                 0          100           50             0           0             0               1          0       0       0       0       0       0       1       0       0       0       0       0       0       0
34       0      260     1       2        1            1            1          "Piercing Blade Glove"               105     95          101         35            86           0                 0                 0                 0          120           60             0           0             0               1          0       0       0       0       0       0       1       0       0       0       0       0       0       0
35       0      270     1       2        1            1            1          "Phoenix Soul Star"                  147     122         128         40            98           0                 0                 0                 380        101           51             0           0             0               0          0       0       0       0       0       0       1       0       0       0       0       0       0       0
36       0      22      1       4        1            1            1          "Cyclone Sword"                      149     129         144         40            90           0                 0                 46                400        182           50             0           0             0               0          0       3       0       0       0       0       0       0       0       0       0       0       0       0
